Reference,Qty,Value,Footprint,Datasheet,DNP,Exclude from BOM
BT1,1,Battery,BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032,~,,
J1,1,Conn_02x03_Odd_Even,PinSocket_2x03_P2.54mm_Vertical,~,,
