"Comment","Designator","Footprint","LCSC Part Number","QTY"
"Battery","BT1","BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032","","1"
"Conn_02x03_Odd_Even","J1","PinSocket_2x03_P2.54mm_Vertical","","1"
