Reference,Qty,Value,Footprint,Datasheet,DNP,Exclude from BOM
D1,1,LED,LED_0805_2012Metric,~,,
J1,1,Conn_02x03_Odd_Even,PinSocket_2x03_P2.54mm_Vertical,~,,
